Problem (LLM Sample),Tests Passed,Line Coverage %,Branch Coverage %,Notes
HumanEval_0 (grok sample1),1/1,88.9%,83.3%,"Good coverage, but check for edge cases."
HumanEval_0 (grok sample2),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_0 (grok sample3),0/0,0.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_0 (grok sample4),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_0 (grok sample5),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_0 (chatgpt sample1),1/1,88.9%,83.3%,"Good coverage, but check for edge cases."
HumanEval_0 (chatgpt sample2),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_0 (chatgpt sample3),0/0,0.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_0 (chatgpt sample4),1/1,93.8%,90.0%,"Good coverage, but check for edge cases."
HumanEval_0 (chatgpt sample5),0/0,0.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_1 (grok sample1),1/1,100.0%,90.0%,"Good coverage, but check for edge cases."
HumanEval_1 (grok sample2),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_1 (grok sample3),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_1 (grok sample4),1/1,96.0%,81.2%,"Good coverage, but check for edge cases."
HumanEval_1 (grok sample5),1/1,100.0%,87.5%,"Good coverage, but check for edge cases."
HumanEval_1 (chatgpt sample1),1/1,100.0%,87.5%,"Good coverage, but check for edge cases."
HumanEval_1 (chatgpt sample2),1/1,100.0%,80.0%,"Good coverage, but check for edge cases."
HumanEval_1 (chatgpt sample3),1/1,90.5%,75.0%,"Good coverage, but check for edge cases."
HumanEval_1 (chatgpt sample4),1/1,93.8%,80.0%,"Good coverage, but check for edge cases."
HumanEval_1 (chatgpt sample5),0/1,23.5%,100.0%,Moderate coverage; some lines untested.
HumanEval_2 (grok sample1),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_2 (grok sample2),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_2 (grok sample3),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_2 (grok sample4),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_2 (grok sample5),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_2 (chatgpt sample1),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_2 (chatgpt sample2),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_2 (chatgpt sample3),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_2 (chatgpt sample4),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_2 (chatgpt sample5),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_3 (grok sample1),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_3 (grok sample2),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_3 (grok sample3),0/0,0.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_3 (grok sample4),0/1,87.5%,75.0%,"Good coverage, but check for edge cases."
HumanEval_3 (grok sample5),0/0,0.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_3 (chatgpt sample1),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_3 (chatgpt sample2),0/0,0.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_3 (chatgpt sample3),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_3 (chatgpt sample4),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_3 (chatgpt sample5),0/1,44.4%,100.0%,Moderate coverage; some lines untested.
HumanEval_4 (grok sample1),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_4 (grok sample2),1/1,85.7%,50.0%,"Good coverage, but check for edge cases."
HumanEval_4 (grok sample3),1/1,90.0%,75.0%,"Good coverage, but check for edge cases."
HumanEval_4 (grok sample4),1/1,85.7%,50.0%,"Good coverage, but check for edge cases."
HumanEval_4 (grok sample5),0/0,0.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_4 (chatgpt sample1),1/1,87.5%,50.0%,"Good coverage, but check for edge cases."
HumanEval_4 (chatgpt sample2),1/1,90.9%,50.0%,"Good coverage, but check for edge cases."
HumanEval_4 (chatgpt sample3),1/1,92.9%,83.3%,"Good coverage, but check for edge cases."
HumanEval_4 (chatgpt sample4),0/0,0.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_4 (chatgpt sample5),0/1,50.0%,100.0%,Moderate coverage; some lines untested.
HumanEval_5 (grok sample1),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_5 (grok sample2),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_5 (grok sample3),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_5 (grok sample4),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_5 (grok sample5),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_5 (chatgpt sample1),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_5 (chatgpt sample2),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_5 (chatgpt sample3),0/0,0.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_5 (chatgpt sample4),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_5 (chatgpt sample5),0/0,0.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_6 (grok sample1),1/1,100.0%,87.5%,"Good coverage, but check for edge cases."
HumanEval_6 (grok sample2),1/1,100.0%,83.3%,"Good coverage, but check for edge cases."
HumanEval_6 (grok sample3),1/1,100.0%,80.0%,"Good coverage, but check for edge cases."
HumanEval_6 (grok sample4),1/1,100.0%,87.5%,"Good coverage, but check for edge cases."
HumanEval_6 (grok sample5),0/0,0.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_6 (chatgpt sample1),1/1,100.0%,90.0%,"Good coverage, but check for edge cases."
HumanEval_6 (chatgpt sample2),1/1,100.0%,83.3%,"Good coverage, but check for edge cases."
HumanEval_6 (chatgpt sample3),1/1,100.0%,87.5%,"Good coverage, but check for edge cases."
HumanEval_6 (chatgpt sample4),0/0,0.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_6 (chatgpt sample5),0/0,0.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_7 (grok sample1),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_7 (grok sample2),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_7 (grok sample3),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_7 (grok sample4),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_7 (grok sample5),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_7 (chatgpt sample1),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_7 (chatgpt sample2),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_7 (chatgpt sample3),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_7 (chatgpt sample4),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_7 (chatgpt sample5),0/0,0.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_8 (grok sample1),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_8 (grok sample2),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_8 (grok sample3),0/0,0.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_8 (grok sample4),0/0,0.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_8 (grok sample5),0/0,0.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_8 (chatgpt sample1),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_8 (chatgpt sample2),0/0,0.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_8 (chatgpt sample3),0/0,0.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_8 (chatgpt sample4),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_8 (chatgpt sample5),0/0,0.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_9 (grok sample1),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_9 (grok sample2),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_9 (grok sample3),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_9 (grok sample4),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_9 (grok sample5),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_9 (chatgpt sample1),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_9 (chatgpt sample2),1/1,100.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_9 (chatgpt sample3),0/0,0.0%,0.0%,Low branch coverage due to untested branches/conditions.
HumanEval_9 (chatgpt sample4),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
HumanEval_9 (chatgpt sample5),1/1,100.0%,100.0%,"Good coverage, but check for edge cases."
